PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD2;18;Bishkek-Osh с 488-596km;Бишкек - Ош 488-596км;Бишкек - Ош 488-596км;110;inter
RD2;18;Suzak bypass;Объездная Сузака;Объездная Сузака;9;inter
RD2;18;Access road to Jalal-Abad c.;подъездная дорога к Жалад Абаду;подъездная дорога к Жалад Абаду;10;inter
RD2;18;Barpy-Iyrisuu-Ozgon ;Барпы - Айрисуу - Озгон;Барпы - Айрисуу - Озгон;17;nat
RD2;18;Suzak-Karadarya;Сузак - Карадарья;Сузак - Карадарья;19;nat
RD2;20;Nefteprom-Uchmazar-Aral;Нефтепром - Учмазар - Арал;Нефтепром - Учмазар - Арал;10;nat
RD2;20;Madaniat-Maylysuu;Маданият - Майлисуу;Маданият - Майлисуу;19;nat
RD2;20;Kumush-Aziz-Masadan ;Кумуш - Азиз - Масаздан;Кумуш - Азиз - Масаздан;20;loc
RD2;20;Nefteprom-Uchmazar ;Нефтепром - Учмазар;Нефтепром - Учмазар;17;loc
RD2;20;Komsomol-Barpy-Turk Abad ;Комсомол - Барпы - Туркабад;Комсомол - Барпы - Туркабад;13;loc
RD2;20;Suzak-Aral-Zhiyde ;Сузак - Арал - Жийде;Сузак - Арал - Жийде;9;loc
RD2;20;Bekabad-Zhiyde-Munduz ;Бекабад - Жийде - Мундуз;Бекабад - Жийде - Мундуз;10;loc
RD2;24;Bazarkorgon-Chkalov ;Базаркоргон - Чкалов;Базаркоргон - Чкалов;7;loc
RD2;24;Madaniat-Mailysuu-Sary Bee ;Маданият - Майлисуу - Сары бээ;Маданият - Майлисуу - Сары бээ;6;loc
RD2;24;Jalal Abad - Kurort ;ЖалалАбад- Курорт;ЖалалАбад- Курорт;4;loc
RD2;24;Bishkek-Osh 209-318 km;Бишкек - Ош 209-318км;Бишкек - Ош 209-318км;109;inter
RD2;24;Torkent-Tooluk-Sarykamysh ;Торкент - Тоолук - Сарыкамыш;Торкент - Тоолук - Сарыкамыш;155;nat
RD2;24;Toktogul-Beshtash;Токтогул - Бешташ;Токтогул - Бешташ;90;nat
RD2;24;Kochkor-Aral-Too Ashuu 41-135км;Кочкор - Арал - Тоо Ашуу 41-135 км;Кочкор - Арал - Тоо Ашуу 41-135 км;94;inter
RD2;24;Aral-Min Kush;Арал - Мин Куш;Арал - Мин Куш;36;nat
RD2;24;Chetbulak-Kyzart;Четбулак - Кызарт;Четбулак - Кызарт;7;loc
RD2;24;Zhumgal-Tugol Say;Жумгал - Тугол Сай;Жумгал - Тугол Сай;26;loc
RD2;24;Kyzart-Sarybulak;Кызарт - Сарыбулак;Кызарт - Сарыбулак;15;loc
