PLUAD_name;DEP_num;Road_num;NameEn;NameRus;NameKg;Length;NumberOfBridge;type;
RD2;20;18;At Bashy-Achakaiyndy;Ат Башы - Ачакайынды;Ат Башы - Ачакайынды;3;;loc;
RD2;20;19;Kalinin-May-Bosogo;Калинин - Май - Босого;Калинин - Май - Босого;71;;loc;
RD2;20;20;Beshbelchir-Zhany Zher Ulan;Бешбелчир - Жаны Жер Улан;Бешбелчир - Жаны Жер Улан;21;;loc;
RD2;24;1;Kochkor-Aral-Too Ashuu 41-135км;Кочкор - Арал - Тоо Ашуу 41-135 км;Кочкор - Арал - Тоо Ашуу 41-135 км;94;2;int;
RD2;24;20;Aral-Min Kush;Арал - Мин Куш;Арал - Мин Куш;36;2;nat;
RD2;24;21;Chetbulak-Kyzart;Четбулак - Кызарт;Четбулак - Кызарт;7;;loc;
RD2;24;22;Zhumgal-Tugol Say;Жумгал - Тугол Сай;Жумгал - Тугол Сай;26;;loc;
RD2;24;23;Kyzart-Sarybulak;Кызарт - Сарыбулак;Кызарт - Сарыбулак;15;;loc;
RD2;24;24;Kyzyl Tuu-Sarybulak;Кызыл Туу - Сарыбулак;Кызыл Туу - Сарыбулак;17;;loc;
RD2;24;25;Kyzyl Tuu-Shilbili;Кызыл Туу - Шилбили;Кызыл Туу - Шилбили;25;;loc;
RD2;24;26;Kyzyl Tuu-Chon Dobo;Кызыл Туу - Чон Добо;Кызыл Туу - Чон Добо;12;;loc;
RD2;24;27;Diykan-Kolmo;Дыйкан - Колмо;Дыйкан - Колмо;30;;loc;
RD2;24;28;Diykan-Moldo Ashuu;Дыйкан - Молдо Ашуу;Дыйкан - Молдо Ашуу;49;;loc;
RD2;24;29;Kaiyrma-Kolmo-Kara Keche;Кайырма - Колмо - Кара Кече;Кайырма - Колмо - Кара Кече;75;;loc;
RD2;24;30;Chetkuugandy-Chayek-Kara Keche;Четкууганды - Чаек - Кара Кече;Четкууганды - Чаек - Кара Кече;55;;loc;
RD2;24;31;Sarybulun-Ak Kol;Сарыбулун - Ак Кол;Сарыбулун - Ак Кол;10;;loc;
RD2;24;32;Sarybulun-Ornok;Сарыбулун - Орнок;Сарыбулун - Орнок;15;;loc;
RD2;24;33;Sarybulun-Ornok-Saryka;Сарыбулун - Орнок - Сарыка;Сарыбулун - Орнок - Сарыка;45;;loc;
RD3;6;1;Taraz-Talas-Suusamyr;Тараз - Талас - Суусамыр;Тараз - Талас - Суусамыр;38;3;int;
RD3;6;1;Kirovka-St. Maimak ;Кировка - станция Маймак;Кировка - станция Маймак;27;5;nat;
RD3;6;2;Amanbaeva - Tuz Ashu ;Аманбаева - Туз Ашу;Аманбаева - Туз Ашу;31;0;nat;
RD3;6;3;Kirovka - Chatkal;Кировка - Чаткал;Кировка - Чаткал;90;0;nat;
RD3;6;1;Kirovka - Chimkent;Кировка - Чимкент;Кировка - Чимкент;7;;loc;
RD3;6;2;Kirovka - Greben' - Plotina;Кировка - Гребень - Плотина;Кировка - Гребень - Плотина;11;;loc;
RD3;6;3;Karabuura - Doskain;Карабуура - Доскайын;Карабуура - Доскайын;19;;loc;
RD3;6;4;Gosdorga Bakair;Госдорога Бакаир;Госдорога Бакаир;11;;loc;
RD3;6;5;Amanbayeva - Lushchikhina;Аманбаева - Лущихина;Аманбаева - Лущихина;20;;loc;
RD3;6;6;Gosdoroga Kuru Bakair;ГосдорогаКуру Бакаир;ГосдорогаКуру Бакаир;9;;loc;
RD3;6;7;Gosdoroga Akzhar;Госдорога Акжар;Госдорога Акжар;2;;loc;
RD3;6;8;Suluu - Maymak st. Maymak;Сулуу - Станция Маймак - Маймак;Сулуу - Станция Маймак - Маймак;8;;loc;
RD3;6;9;Amanbayeva - Koksay;Аманбаева - Коксай;Аманбаева - Коксай;16;;loc;
RD3;6;10;Kok Say - Babakhan;Кок Сай - Бабахан;Кок Сай - Бабахан;22;;loc;
RD3;6;11;Kok Say - Kaynar - Kok - Say;Кок Сай - Кайнар - Кок Сай;Кок Сай - Кайнар - Кок Сай;12;;loc;
